generation,MeanFitness,MaxFitness,moastery_score,grass_penalty,min_figure_count,grass_score,tile_type_score,tile_open_score,tile_close_score
269,-37.46875,-6,2,1551,43,-100,4174,2083,5043
270,-37.46875,-6,2,1551,43,-100,4174,2083,5043
271,-37.46875,-6,2,1551,43,-100,4174,2083,5043
272,-37.46875,-6,2,1551,43,-100,4174,2083,5043
273,-37.46875,-6,2,1551,43,-100,4174,2083,5043
274,-37.46875,-6,2,1551,43,-100,4174,2083,5043
275,-37.125,-4,2,1963,35,-100,4544,2128,5495
276,-37.125,-4,2,1963,35,-100,4544,2128,5495
277,-36.84375,-4,3,1796,35,-80,4544,2257,5237
278,-36.84375,-4,3,1796,35,-80,4544,2257,5237
279,-36.5625,-4,2,1579,35,-60,4656,2162,4945
280,-36.5625,-4,2,1579,35,-60,4656,2162,4945
281,-36.5625,-4,2,1579,35,-60,4656,2162,4945
282,-36.3125,-4,2,1368,35,-45,4915,2259,4675
283,-36.03125,-4,2,1368,35,-13,4915,2259,4527
284,-36.03125,-4,2,1368,35,-13,4915,2259,4527
285,-35.9375,-4,2,1505,35,-13,4813,2259,4402
286,-35.59375,-4,2,1455,35,11,4813,2025,4356
287,-35.59375,-4,2,1455,35,11,4813,2025,4356
288,-35.46875,-4,2,1317,35,6,4819,2025,4412
289,-34.96875,-4,2,1317,35,6,4819,2280,4342
290,-34.96875,-4,2,1317,35,6,4819,2280,4342
291,-34.125,-4,2,1429,27,80,4641,2392,3922
292,-34.125,-4,2,1429,27,80,4641,2392,3922
293,-34.125,-4,2,1429,27,80,4641,2392,3922
294,-33.125,-4,3,1429,27,53,4738,2406,3825
295,-33.125,-4,3,1429,27,53,4738,2406,3825
296,-32.84375,-4,3,1183,28,105,4774,2406,3555
297,-32.375,-4,2,1171,27,227,4608,2528,3320
298,-31.84375,-4,2,1206,27,260,4594,2425,2889
299,-31.84375,-4,2,1206,27,260,4594,2425,2889
300,-31.84375,-4,2,1206,27,260,4594,2425,2889
301,-31.28125,-4,2,1206,27,336,4543,2425,2310
302,-31.28125,-4,2,1206,27,336,4543,2425,2310
303,-31.28125,-4,2,1206,27,336,4543,2425,2310
304,-31.28125,-4,2,1206,27,336,4543,2425,2310
305,-31.28125,-4,2,1206,27,336,4543,2425,2310
306,-31.25,-4,2,1278,27,398,4423,2425,2362
307,-30.78125,-4,3,1317,27,453,4423,2223,2422
308,-30.5625,-4,3,1210,27,453,4423,2336,2199
309,-30.28125,-4,3,1278,27,609,4380,2795,1951
310,-29.71875,-4,2,1347,19,643,5097,2795,2937
311,-29.71875,-4,2,1347,19,643,5097,2795,2937
312,-29.375,-4,2,1328,11,700,5181,2723,2661
313,-29,-4,3,1181,11,847,5242,3184,2430
314,-28.4375,-4,3,1181,11,945,5538,3317,2145
315,-28.4375,-4,3,1181,11,945,5538,3317,2145
316,-28.03125,-4,3,1366,10,1129,5539,3522,1913
317,-25.375,24,4,1598,10,1310,5837,3976,1744
318,-24.40625,24,4,1893,10,1486,5723,4388,1680
319,-23.8125,24,4,2051,10,1598,5911,4216,1833
320,-22.125,24,4,2396,10,1762,5972,4202,1683
321,-19.84375,24,5,2616,10,2029,6171,4281,1767
322,-19.375,24,5,2777,9,2073,6155,4338,1767
323,-17.28125,24,4,2769,9,2275,6223,4142,1647
324,-13.03125,24,4,2853,9,2583,6316,3989,1953
325,-11.25,24,4,3004,9,2791,6250,4238,1985
326,-7.9375,24,4,2749,9,2990,6161,4055,2251
327,-7.84375,24,4,2616,9,3014,6172,3756,2234
328,-6.28125,24,4,2431,9,3171,6275,3602,2241
329,-5.34375,24,4,2297,9,3208,6255,3602,2241
330,-3.0625,24,4,2199,9,3424,6255,3364,2315
331,-0.3125,24,4,1955,9,3581,6447,3110,2573
332,0.9375,24,4,1844,9,3654,6454,3261,2668
333,2.5625,24,4,1896,9,3916,6370,3405,2754
334,3.5625,24,4,2052,9,3833,6370,3405,2799
335,4.71875,24,4,2182,9,3815,6367,3577,2864
336,5.21875,24,4,2306,9,3893,6367,3577,2864
337,5.21875,24,4,2306,9,3893,6367,3577,2864
338,5.21875,24,4,2306,9,3893,6367,3577,2864
339,6.0625,24,4,2393,9,3804,6367,3695,2927
340,6.4375,24,4,2393,9,3804,6367,3763,2859
341,7.78125,24,4,2799,1,4032,6367,3911,3017
342,7.78125,24,4,2799,1,4032,6367,3911,3017
343,8.9375,24,4,2688,1,3980,6340,3789,3171
344,11.53125,24,4,2746,1,3945,6241,3840,3533
345,12.53125,24,3,2788,1,4153,6241,4179,3558
346,12.8125,24,4,2687,1,4072,6241,4139,3514
347,14.0625,24,4,2737,1,3980,7399,4270,3681
348,15.65625,24,4,2943,1,4147,8385,4161,4094
349,15.65625,24,4,2943,1,4147,8385,4161,4094
350,15.65625,24,4,2943,1,4147,8385,4161,4094
351,15.65625,24,4,2943,1,4147,8385,4161,4094
352,15.9375,30,3,2905,1,4136,8355,4054,4094
353,16.09375,30,4,2905,1,4136,8287,3972,4094
354,16.28125,30,4,2834,1,4136,8287,3823,4094
355,16.6875,30,4,3056,1,4309,8279,3823,4233
356,18.15625,30,4,2773,1,4235,8214,4122,4331
357,19.53125,30,4,2640,1,4137,8144,4030,4482
358,19.90625,30,4,2808,2,4137,8144,4030,4497
359,19.90625,30,4,2808,2,4137,8144,4030,4497
360,-99,-81,-2,-2258,159,-5632,-8690,-2784,-4604
361,-90.6875,-64,-1,-1602,136,-4608,-6585,-933,-3247
362,-83.46875,10,-1,-1325,128,-3604,-4782,-710,-3212
363,-71.03125,10,0,542,81,-725,-1369,468,-1286
364,-57.09375,10,0,2013,57,2326,884,2047,2048
365,-46.375,10,2,3249,41,4370,3262,3765,3669
366,-35.59375,10,2,3557,41,5366,3371,5047,4264
367,-25.375,10,3,4338,9,7933,7227,6551,7003
368,-15.3125,10,3,4706,9,8434,7721,6529,7428
369,-12.15625,10,2,4475,1,8685,8163,6632,7996
370,-6.75,24,3,4880,1,9375,8761,6734,8857
371,-6.125,24,4,4852,1,9157,8544,6494,8848
372,-4.21875,24,6,4374,1,9199,8056,6685,9131
373,-2.4375,24,6,4332,1,9082,7205,6784,8848
374,0.09375,24,7,4081,1,8950,6374,7109,8848
375,0.8125,24,6,4185,1,8834,6394,6675,8283
376,3.28125,24,5,2976,1,8944,5783,6603,8564
377,3.90625,24,5,2887,1,8954,5782,6440,8363
378,6.53125,24,6,2559,2,8974,5161,6830,8647
379,9.1875,24,6,1807,1,9026,4090,7754,9497
380,11.03125,24,7,994,1,9088,3817,7857,9781
381,12.96875,24,7,663,1,9157,3224,8230,9987
382,15.3125,24,9,351,1,9209,3077,8482,9989
383,16.625,24,9,313,1,9272,3001,8418,9989
384,16.65625,24,9,313,1,9299,3173,8418,9987
385,16.65625,24,9,313,1,9299,3173,8418,9987
386,17.46875,24,9,313,1,9288,3079,8271,9986
387,17.90625,24,8,313,1,9324,2985,8359,9986
388,17.90625,24,8,313,1,9324,2985,8359,9986
389,18.625,24,7,313,1,9318,2923,8498,9986
390,18.625,24,7,313,1,9318,2923,8498,9986
391,18.78125,24,7,1,1,9324,2894,8677,9988
392,18.78125,24,7,1,1,9324,2894,8677,9988
393,18.78125,24,7,1,1,9324,2894,8677,9988
394,18.96875,24,8,1,1,9340,2894,8540,9988
395,19.15625,24,8,1,1,9361,2969,8611,9988
396,19.15625,24,8,1,1,9361,2969,8611,9988
397,19.15625,24,8,1,1,9361,2969,8611,9988
398,19.15625,24,8,1,1,9361,2969,8611,9988
399,19.15625,24,8,1,1,9361,2969,8611,9988
400,19.15625,24,8,1,1,9361,2969,8611,9988
401,19.15625,24,8,1,1,9361,2969,8611,9988
402,19.15625,24,8,1,1,9361,2969,8611,9988
403,19.15625,24,8,1,1,9361,2969,8611,9988
404,19.15625,24,8,1,1,9361,2969,8611,9988
405,19.15625,24,8,1,1,9361,2969,8611,9988
406,19.15625,24,8,1,1,9361,2969,8611,9988
407,19.15625,24,8,1,1,9361,2969,8611,9988
408,19.15625,24,8,1,1,9361,2969,8611,9988
409,19.15625,24,8,1,1,9361,2969,8611,9988
410,19.15625,24,8,1,1,9361,2969,8611,9988
411,19.15625,24,8,1,1,9361,2969,8611,9988
412,19.15625,24,8,1,1,9361,2969,8611,9988
413,19.15625,24,8,1,1,9361,2969,8611,9988
414,19.15625,24,8,1,1,9361,2969,8611,9988
415,19.15625,24,8,1,1,9361,2969,8611,9988
416,19.15625,24,8,1,1,9361,2969,8611,9988
417,19.15625,24,8,1,1,9361,2969,8611,9988
418,19.15625,24,8,1,1,9361,2969,8611,9988
419,19.15625,24,8,1,1,9361,2969,8611,9988
420,19.15625,24,8,1,1,9361,2969,8611,9988
421,19.15625,24,8,1,1,9361,2969,8611,9988
422,19.15625,24,8,1,1,9361,2969,8611,9988
423,19.15625,24,8,1,1,9361,2969,8611,9988
424,19.15625,24,8,1,1,9361,2969,8611,9988
425,19.15625,24,8,1,1,9361,2969,8611,9988
426,19.15625,24,8,1,1,9361,2969,8611,9988
427,19.15625,24,8,1,1,9361,2969,8611,9988
428,19.15625,24,8,1,1,9361,2969,8611,9988
429,19.15625,24,8,1,1,9361,2969,8611,9988
430,19.15625,24,8,1,1,9361,2969,8611,9988
431,19.15625,24,8,1,1,9361,2969,8611,9988
432,19.15625,24,8,1,1,9361,2969,8611,9988
433,19.15625,24,8,1,1,9361,2969,8611,9988
434,19.15625,24,8,1,1,9361,2969,8611,9988
435,19.15625,24,8,1,1,9361,2969,8611,9988
436,19.15625,24,8,1,1,9361,2969,8611,9988
437,19.15625,24,8,1,1,9361,2969,8611,9988
438,19.15625,24,8,1,1,9361,2969,8611,9988
439,19.15625,24,8,1,1,9361,2969,8611,9988
440,19.15625,24,8,1,1,9361,2969,8611,9988
441,19.15625,24,8,1,1,9361,2969,8611,9988
442,19.15625,24,8,1,1,9361,2969,8611,9988
443,19.15625,24,8,1,1,9361,2969,8611,9988
444,19.15625,24,8,1,1,9361,2969,8611,9988
445,19.15625,24,8,1,1,9361,2969,8611,9988
446,19.15625,24,8,1,1,9361,2969,8611,9988
447,19.15625,24,8,1,1,9361,2969,8611,9988
448,19.15625,24,8,1,1,9361,2969,8611,9988
449,19.15625,24,8,1,1,9361,2969,8611,9988
450,19.15625,24,8,1,1,9361,2969,8611,9988
451,19.15625,24,8,1,1,9361,2969,8611,9988
452,19.15625,24,8,1,1,9361,2969,8611,9988
453,19.15625,24,8,1,1,9361,2969,8611,9988
454,19.15625,24,8,1,1,9361,2969,8611,9988
455,19.15625,24,8,1,1,9361,2969,8611,9988
456,19.15625,24,8,1,1,9361,2969,8611,9988
457,19.15625,24,8,1,1,9361,2969,8611,9988
458,19.15625,24,8,1,1,9361,2969,8611,9988
459,19.15625,24,8,1,1,9361,2969,8611,9988
460,19.15625,24,8,1,1,9361,2969,8611,9988
461,19.15625,24,8,1,1,9361,2969,8611,9988
462,19.15625,24,8,1,1,9361,2969,8611,9988
463,19.15625,24,8,1,1,9361,2969,8611,9988
464,19.15625,24,8,1,1,9361,2969,8611,9988
465,19.15625,24,8,1,1,9361,2969,8611,9988
466,19.15625,24,8,1,1,9361,2969,8611,9988
467,19.15625,24,8,1,1,9361,2969,8611,9988
468,19.15625,24,8,1,1,9361,2969,8611,9988
469,19.15625,24,8,1,1,9361,2969,8611,9988
470,19.15625,24,8,1,1,9361,2969,8611,9988
471,19.15625,24,8,1,1,9361,2969,8611,9988
472,19.15625,24,8,1,1,9361,2969,8611,9988
